id,is_participant,contribution_level,primary_barrier,initial_trust,loss_tolerance,weight_strong_tie,weight_weak_tie,weight_authority,weight_public,herding_threshold,reg_sensitivity,age,gender,income_level,education
281,1,1.0,None,0.8,0.03,1.0,0.4,0.7,0.2,0.2,1,D,0,30,男
282,0,0.0,Liquidity,0.3,0.05,0.7,0.7,0.4,0.7,0.0,1,D,0,30,女
283,1,0.1,None,0.8,0.05,0.4,0.2,0.4,0.7,0.0,-1,D,0,45,男
284,0,0.0,Yield,0.7,0.03,0.2,0.7,0.4,0.4,0.2,-1,D,0,32,男
285,0,0.0,Yield,0.5,0.03,1.0,0.7,0.7,0.4,0.6,1,D,0,30,女
286,1,1.0,None,0.6,0.03,0.4,0.4,0.7,0.4,0.6,1,D,0,33,女
287,1,1.0,None,0.7,0.03,0.4,0.7,1.0,0.7,0.6,-1,D,0,29,女
288,1,1.0,None,0.9,0.05,0.7,1.0,1.0,0.7,0.6,1,D,0,38,男
289,1,1.0,None,0.5,0.05,0.7,0.4,0.7,1.0,0.2,1,D,0,30,男
290,0,0.0,Liquidity,0.3,0.05,0.7,0.7,0.7,0.7,0.6,1,D,0,35,女
291,0,0.0,Policy,0.8,0.03,0.4,0.4,1.0,0.7,0.6,1,D,0,45,女
292,1,0.1,None,0.7,0.05,0.4,0.7,0.7,0.4,0.6,-1,D,0,43,男
293,1,0.1,None,0.3,0.05,0.7,0.4,0.4,0.7,0.6,-1,D,0,30,女
294,0,0.0,Yield,0.8,0.05,0.0,0.0,0.7,0.7,0.6,1,D,0,19,男
295,0,0.0,Policy,0.5,0.05,1.0,0.4,0.7,0.4,0.6,1,D,0,35,男
296,0,0.0,Yield,1.0,0.05,0.2,0.7,1.0,0.7,0.6,1,D,0,36,女
298,1,1.0,None,0.8,0.05,0.0,0.2,0.7,0.4,0.6,1,D,0,38,女
299,0,0.0,Liquidity,0.6,0.05,0.7,1.0,0.7,0.7,0.2,1,D,0,24,女
300,0,0.0,Yield,0.8,0.05,0.4,0.2,1.0,0.7,0.8,1,D,0,44,男
301,1,1.0,None,0.6,0.05,0.7,0.7,0.4,0.7,0.2,-1,D,0,26,女
302,0,0.0,Liquidity,0.8,0.03,0.7,0.7,0.4,0.7,0.6,1,D,0,32,男
303,1,1.0,None,1.0,0.03,0.2,0.0,0.0,0.2,0.8,-1,D,0,22,女
304,0,0.0,Other,0.7,0.05,0.7,0.4,0.7,0.4,0.0,1,D,0,23,男
305,1,0.1,None,0.4,0.05,0.7,0.4,1.0,1.0,0.2,1,D,0,23,男
306,1,1.0,None,0.8,0.05,0.4,0.4,0.7,0.7,0.6,-1,D,0,33,男
307,0,0.0,Liquidity,0.5,0.05,0.7,0.7,1.0,0.4,0.6,-1,D,0,22,女
308,1,1.0,None,0.0,0.05,0.7,0.7,1.0,0.4,0.0,1,D,0,35,男
309,0,0.0,Yield,0.6,0.05,0.7,1.0,1.0,0.7,0.8,1,D,0,30,女
310,1,1.0,None,1.0,0.05,0.7,0.4,0.7,0.7,0.6,1,D,0,30,女
311,1,1.0,None,0.7,0.03,0.2,0.2,0.7,0.7,0.6,-1,D,0,44,男
312,0,0.0,Policy,0.2,0.05,0.4,0.2,0.4,0.2,0.8,1,D,0,38,女
313,0,0.0,Liquidity,0.5,0.05,0.7,0.4,0.7,0.7,0.6,-1,D,0,22,女
314,0,0.0,Liquidity,0.0,0.05,0.4,0.2,1.0,0.7,0.2,-1,D,0,32,女
315,0,0.0,Policy,0.7,0.05,0.7,1.0,0.7,1.0,0.2,1,D,0,29,男
316,1,1.0,None,1.0,0.05,0.7,0.4,0.7,0.4,0.6,1,D,0,48,男
317,1,1.0,None,0.3,0.05,0.7,0.4,0.4,0.4,0.6,-1,D,0,30,女
318,0,0.0,Policy,0.5,0.05,0.2,0.4,0.7,0.4,0.0,1,D,0,27,男
319,0,0.0,Yield,0.2,0.05,0.7,0.4,1.0,0.7,0.0,-1,D,0,22,女
320,1,1.0,None,0.9,0.03,0.7,1.0,1.0,0.7,0.6,1,D,0,30,女
321,1,0.1,None,0.6,0.03,0.4,0.4,0.0,0.2,0.6,1,D,0,34,男
322,1,1.0,None,0.8,0.05,0.7,0.7,1.0,0.7,0.2,-1,D,0,39,男
323,1,1.0,None,0.6,0.05,0.7,0.7,0.7,0.7,0.2,-1,D,0,45,女
325,0,0.0,Policy,0.3,0.03,0.7,0.7,1.0,1.0,0.8,1,D,0,24,女
326,0,0.0,Liquidity,0.6,0.05,0.4,0.7,0.7,1.0,0.2,1,D,0,32,女
327,1,1.0,None,0.9,0.03,0.7,0.7,0.7,0.4,0.6,-1,D,0,31,女
328,0,0.0,Info,0.4,0.03,0.7,0.7,1.0,1.0,0.6,1,D,0,46,男
329,0,0.0,Liquidity,0.5,0.03,0.7,0.7,0.7,0.7,0.6,1,D,0,35,女
330,1,1.0,None,0.8,0.03,0.7,0.7,1.0,1.0,0.2,-1,D,0,33,男
331,0,0.0,Liquidity,0.6,0.05,0.7,0.4,1.0,0.7,0.8,-1,D,0,35,女
332,0,0.0,Policy,0.3,0.03,0.4,0.4,0.7,0.7,0.2,1,D,0,24,女
333,1,1.0,None,0.9,0.05,0.7,1.0,0.7,0.7,0.2,-1,D,0,45,女
334,0,0.0,Liquidity,0.3,0.05,0.4,0.4,0.7,0.7,0.2,1,D,0,40,男
335,1,1.0,None,0.8,0.03,0.4,0.7,0.4,0.7,0.2,1,D,0,31,男
336,1,1.0,None,0.2,0.05,1.0,0.7,0.4,0.2,0.2,-1,D,0,33,男
337,1,1.0,None,0.7,0.03,0.7,1.0,0.7,0.7,0.2,-1,D,0,27,女
338,0,0.0,Policy,0.5,0.05,0.7,0.7,1.0,1.0,0.8,-1,D,0,36,女
339,1,1.0,None,0.7,0.05,0.7,0.4,0.4,0.2,0.2,-1,D,0,32,女
340,1,1.0,None,0.6,0.05,0.7,0.7,0.4,0.7,0.6,1,D,0,45,女
341,1,1.0,None,0.9,0.03,0.4,0.7,1.0,0.2,0.2,1,D,0,46,女
342,1,0.1,None,0.5,0.05,0.2,0.4,0.7,0.4,0.2,1,D,0,48,女
343,0,0.0,Liquidity,0.2,0.05,0.7,0.4,0.2,0.0,0.0,0,D,0,29,女
344,0,0.0,Liquidity,0.5,0.03,0.2,0.0,0.0,0.0,0.8,0,D,0,29,女
